No ,Nation,People,Languages
1,Iran,Iranian,"Persian, Farsi"
2,Afghanistan,Afghan,"Dari, Pashto, Uzbek, Turkmen, Balochi, Pashayi"
3,Somalia,Somali,"Somali, Maay, Baraawe (Chiminii), Arabic"
4,Syria,Syrian,"Arabic, Kurdish, Armenian, Circassian"
5,Turkey (Turkiye),Turk or Turkish,"Turkish, Kurdish, Zazaki, Arabic"
6,Punjabi (Panjabi),Punjabi (Panjabi),"Punjabi, Hindi"
7,Bangladesh,Bangaldeshi,Bangla
8,Bosnian,Bosnian/Bosniaks,"Bosnian, Serbian, Croatian"
9,Uyghur,Uyghur,Uyghur
10,Tibet,Tibetan,Tibetan
11,Sri Lanka,Sri Lankan,"Sinhala, Helabasa, Tamil"
12,Palestine,Palestinian,"Palestinian, Arabic, Palestinina Arabic"
13,Pakistan,Pakistani,Urdu
14,Morocco,Moroccan,"Arabic, Spanish, French"
14,Lebanon,Lebanese,"Lebanese, Arabic, Lebanese Arabic"
15,Israel,Jewish,Hebrew
16,Indian Hindhu,Indian Hindhu,Hindi
17,Gujarati,Gujarati,Gujarati
18,Egypt,Egyptian,"Egyptian, Arabic, Egyptian Arabic"
19,Cambodia,Cambodian,Khmer
20,Algeria,Algerian,"Arabic, Tamazight"
21,Tunisia,Tunisian,"Tunisian Arabic, French, Berber, Arabic"